H,std_H,M,std_M,H_2,std_H_2,M_2,std_M_2,T,M_4,std_M_4
-836.688,64.99457631949724,88.294,69.63423361027598,704266.88,109716.10626733006,12639.908,18361.888318747777,3.0,4.96589057936e8,1.5687186131960533e9
-840.956,60.57474195870226,85.084,65.30980258976683,710872.624,102044.55247357479,11500.392,15896.061994634812,2.99,3.84691118304e8,1.0444803052297198e9
-847.456,61.37503530719114,90.078,65.56688899843375,721944.8,104969.14336441287,12408.764,16467.733035473695,2.98,4.24892469104e8,1.145719617628794e9
-848.436,62.02961855095981,88.11,66.33985888496355,723687.472,105836.54847642481,12159.948,16925.027847922403,2.97,4.34034446448e8,1.3038174466607769e9
-852.32,62.46630803592957,93.052,66.9082506871164,730347.52,106632.8635274213,13130.912,18532.18012616121,2.96,5.1551910848e8,2.0204384628732703e9
-857.428,58.362513645310024,89.316,66.64483234038238,738585.552,100311.39175848283,12414.44,17672.7525980191,2.95,4.6613217872e8,1.512681593409129e9
-862.92,63.41437520770021,91.858,70.85051609996664,748648.288,109581.95494294749,13452.668,19415.655143270815,2.94,5.57564973296e8,1.8408428106721451e9
-867.316,62.82986340694794,94.762,73.3183669958554,756180.688,109516.8963705112,14350.044,20619.467107514247,2.93,6.30661024176e8,2.0886053921343143e9
-869.672,61.355430932435844,92.038,71.17553310311425,760090.112,107217.15478364157,13531.884,20023.0790515657,2.92,5.836346556e8,2.0774190691591332e9
-875.152,61.780204675038824,97.726,72.78424603216324,769704.0,108760.04751701749,14842.62,21154.030208962115,2.91,6.67348869552e8,2.0088465653217106e9
-879.508,61.87693181380837,97.396,72.92275991014678,777359.248,109837.92539866354,14798.392,20158.75982663825,2.9,6.24961627936e8,1.78309704446975e9
-882.568,63.0979772316889,95.69,73.29545773186852,782903.648,111936.31238229104,14523.428,20583.431712469082,2.89,6.34183944272e8,1.8994325098657956e9
-889.028,61.96889025437972,95.976,75.24949109402608,794207.088,110276.08213985647,14868.216,21518.705938104053,2.88,6.83655497568e8,2.3845227493651214e9
-895.98,60.77128227007184,97.322,71.3527822550427,806469.616,109324.57343394052,14557.7,19778.746166679164,2.87,6.02734230416e8,1.7273798837253976e9
-899.516,62.51100198660528,100.93,74.59291657525668,813032.752,112850.17032845654,15745.404,22060.989400525857,2.86,7.341183132e8,2.329843302761078e9
-905.888,61.30867972979201,99.508,74.12144037944704,824388.064,111739.51909197931,15390.336,21448.172620618938,2.85,6.96426526848e8,2.0775004132155855e9
-909.984,65.99930038759238,104.236,77.41602899623273,832422.432,120526.08568860433,16852.392,22944.446756356785,2.84,8.0992430544e8,2.2719606303408103e9
-916.604,64.01678946443138,103.522,77.46659014432343,844256.944,117787.17450256698,16711.876,22755.873835531842,2.83,7.96598763664e8,2.2020949366138177e9
-922.132,64.38583782255313,107.378,82.94075165010433,854468.816,119293.8846152339,18402.324,25546.78760885909,2.82,9.90631247376e8,2.760384011033495e9
-926.296,63.67793388029533,110.326,85.63891491458627,862075.104,118180.78269019228,19498.516,26630.117028407716,2.81,1.088646096016e9,2.908391334357774e9
-929.028,66.51236810632373,110.494,82.0113029881724,867512.496,124199.62072704862,18928.052,26844.84723585538,2.8,1.078196329808e9,3.8467259340260496e9
-934.864,65.41446748660846,108.112,81.2740113500061,878245.472,122354.11293769404,18287.064,26498.154059112196,2.79,1.035866726112e9,3.8048502513860354e9
-937.756,64.19618067777562,115.478,83.07780351837329,883503.344,120467.28989058916,20230.188,26242.63917786616,2.78,1.097247941424e9,2.7126545684854193e9
-947.98,64.06540389302151,115.314,88.67633786358624,902766.352,122031.07435748051,21152.948,29288.360717097003,2.77,1.304397474512e9,3.794591393673009e9
-949.316,64.6799167874823,115.138,86.66383083833519,905380.176,123434.64454521277,20759.868,29624.33170600821,2.76,1.307695547376e9,4.393087631130327e9
-959.224,62.30158353775056,123.724,91.79039874246817,923988.288,119761.00035936628,23724.68,32445.83743040331,2.75,1.614540075296e9,4.470590553993503e9
-963.432,65.95874416581877,125.86,91.79219033341674,932547.424,128142.10946144695,24258.12,32017.517882011485,2.74,1.612552715808e9,4.2721096730468597e9
-966.368,66.75352131991697,115.614,85.14232919189033,938318.688,129665.8956580004,20608.564,27231.819526661024,2.73,1.16554333288e9,3.345098926175423e9
-974.156,65.03867844362843,121.194,91.57447378089729,953205.712,126752.58135007731,23065.484,31394.49505179692,2.72,1.516645257392e9,3.949591160616901e9
-978.004,64.26322234175427,125.846,92.95860146100297,960617.456,126123.04590364156,24469.876,31765.41742815619,2.71,1.606807534096e9,4.1776113976803064e9
-988.8,69.03562788819929,129.962,97.4067894894326,982486.592,136936.10652373396,26368.716,35798.433035415605,2.7,1.975555463472e9,5.296822244398692e9
